vg=0.3 X,vg=0.3 Y,vg=0.6 X,vg=0.6 Y,vgs=0.9 X,vgs=0.9 Y,vgs=1.5 X,vgs=1.5 Y
2.07,0.00039268905,2.07,0.00049105,2.07,0.00060803012,2.07,0.00086276321
2.1,0.00040046369,2.1,0.00049931942,2.1,0.00061660448,2.1,0.00087178811
2.13,0.00040822149,2.13,0.00050755878,2.13,0.00062514013,2.13,0.00088076142
2.16,0.00041596164,2.16,0.00051576776,2.16,0.00063363749,2.16,0.00088968348
2.19,0.00042368352,2.19,0.0005239462,2.19,0.0006420966,2.19,0.0008985546
2.22,0.00043138658,2.22,0.00053209384,2.22,0.00065051739,2.22,0.00090737568
2.25,0.00043907014,2.25,0.00054021066,2.25,0.00065890007,2.25,0.00091614729
2.28,0.00044673367,2.28,0.00054829649,2.28,0.00066724435,2.28,0.00092486936
2.31,0.00045437666,2.31,0.00055635111,2.31,0.00067555041,2.31,0.00093354256
2.34,0.00046199879,2.34,0.0005643742,2.34,0.00068381813,2.34,0.00094216751
2.37,0.00046959965,2.37,0.00057236577,2.37,0.00069204804,2.37,0.00095074496
2.4,0.00047717897,2.4,0.00058032589,2.4,0.00070024043,2.4,0.00095927545
2.43,0.00048473655,2.43,0.00058825451,2.43,0.0007083955,2.43,0.0009677594
2.46,0.00049227237,2.46,0.00059615197,2.46,0.00071651349,2.46,0.00097619699
2.49,0.0004997865,2.49,0.00060401863,2.49,0.00072459479,2.49,0.00098458895
2.52,0.00050727917,2.52,0.00061185492,2.52,0.0007326402,2.52,0.00099293633
2.55,0.00051475083,2.55,0.00061966139,2.55,0.00074065053,2.55,0.0010012397
2.58,0.00052220193,2.58,0.00062743902,2.58,0.00074862647,2.58,0.0010095
2.61,0.00052963291,2.61,0.00063518853,2.61,0.0007565688,2.61,0.0010177182
2.64,0.00053704441,2.64,0.00064291083,2.64,0.00076447889,2.64,0.001025895
2.67,0.00054443697,2.67,0.00065060675,2.67,0.00077235773,2.67,0.0010340315
2.7,0.00055181105,2.7,0.00065827699,2.7,0.00078020586,2.7,0.0010421287
2.73,0.00055916713,2.73,0.00066592229,2.73,0.00078802424,2.73,0.0010501876
2.76,0.00056650547,2.76,0.00067354298,2.76,0.00079581368,2.76,0.0010582092
2.79,0.00057382651,2.79,0.00068113969,2.79,0.0008035746,2.79,0.0010661944
2.82,0.0005811303,2.82,0.00068871278,2.82,0.00081130748,2.82,0.0010741435
2.85,0.00058841699,2.85,0.0006962624,2.85,0.00081901226,2.85,0.0010820572
2.88,0.0005956866,2.88,0.00070378851,2.88,0.00082668914,2.88,0.001089936
2.91,0.00060293899,2.91,0.00071129108,2.91,0.00083433781,2.91,0.0010977804
2.94,0.0006101741,2.94,0.00071877001,2.94,0.00084195865,2.94,0.0011055909
2.97,0.00061739175,2.97,0.00072622536,2.97,0.00084955186,2.97,0.0011133677
3,0.00062459179,3,0.00073365725,3,0.00085711749,3,0.001121112

