drain TotalCurrent(BV_n44_des) X,drain TotalCurrent(BV_n44_des) Y,drain TotalCurrent(BV_n53_des) X,drain TotalCurrent(BV_n53_des) Y
0.0060373061,9.1769269e-08,0.005113919,7.3932845e-08
0.0065054483,9.9899909e-08,0.0053479902,7.781603e-08
0.006856555,1.060376e-07,0.0056990968,8.3677404e-08
0.007383215,1.1530116e-07,0.0059624268,8.810008e-08
0.00777821,1.2228892e-07,0.0063574218,9.4773459e-08
0.0083707025,1.328271e-07,0.0066536681,9.9806904e-08
0.0088150719,1.4076976e-07,0.0070980375,1.0739857e-07
0.009481626,1.5273742e-07,0.0074313145,1.1312193e-07
0.0099815416,1.617492e-07,0.0079312301,1.217496e-07
0.010731415,1.7531453e-07,0.0083061668,1.2825033e-07
0.011856225,1.9574474e-07,0.0088685718,1.3804372e-07
0.012699832,2.1111273e-07,0.0092903755,1.4541789e-07
0.013332538,2.226556e-07,0.0099230811,1.5651908e-07
0.014281596,2.3998564e-07,0.01039761,1.6487162e-07
0.015705184,2.6599078e-07,0.011109404,1.7743538e-07
0.016772875,2.8548331e-07,0.012177095,1.9634e-07
0.018374411,3.1467878e-07,0.012977863,2.1054976e-07
0.019575563,3.3652337e-07,0.014179015,2.3189072e-07
0.020476427,3.5287797e-07,0.015980743,2.6390876e-07
0.021827723,3.7734937e-07,0.017332039,2.8789078e-07
0.022841195,3.9565592e-07,0.018345511,3.0584572e-07
0.024361404,4.2304106e-07,0.01986572,3.3271171e-07
0.02550156,4.4352463e-07,0.021005876,3.5280215e-07
0.027211794,4.7416784e-07,0.021860993,3.6783563e-07
0.028494469,4.9709573e-07,0.023143668,3.9032351e-07
0.029456476,5.1427076e-07,0.024105675,4.0715247e-07
0.030899486,5.4000535e-07,0.025548685,4.3232127e-07
0.031981744,5.5929499e-07,0.026630943,4.511491e-07
0.03360513,5.8823259e-07,0.027442636,4.6524447e-07
0.03482267,6.0995391e-07,0.028660176,4.8635327e-07
0.036648979,6.4259852e-07,0.02957333,5.0216496e-07
0.038018711,6.6715797e-07,0.030943063,5.2584857e-07
0.039046011,6.8563136e-07,0.031970362,5.4361288e-07
0.040586959,7.1345301e-07,0.03351131,5.7024813e-07
0.041742671,7.344303e-07,0.034667022,5.9023798e-07
0.043476238,7.6609173e-07,0.035533806,6.0524572e-07
0.044776414,7.9001931e-07,0.036833981,6.2779563e-07
0.046726677,8.2624842e-07,0.037809113,6.4474469e-07
0.048189374,8.5371833e-07,0.03927181,6.702471e-07
0.049286397,8.7450658e-07,0.040368833,6.8945821e-07
0.050931932,9.0601322e-07,0.042014368,7.1842026e-07
0.052166083,9.2991405e-07,0.043248519,7.4028119e-07
