drain TotalCurrent(Id_off_0.005n71_des) X,drain TotalCurrent(Id_off_0.005n71_des) Y,drain TotalCurrent(Id_off_0.00538n75_des) X,drain TotalCurrent(Id_off_0.00538n75_des) Y,drain TotalCurrent(idOn_0.005n46_des) X,drain TotalCurrent(idOn_0.005n46_des) Y,drain TotalCurrent(idOn_0.00538n58_des) X,drain TotalCurrent(idOn_0.00538n58_des) Y
0.4,8.2071288e-06,0.4,8.138108e-06,0,7.099011e-17,0,-1.4365247e-17
0.4,8.2071288e-06,0.4,8.138108e-06,0,7.4760144e-17,0,-1.5630044e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,5.931171e-17,0,1.3333736e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,5.7395754e-17,0,-1.5754399e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,3.2045514e-17,0,-1.2412436e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,5.9514596e-17,0,-1.1023284e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,6.0737716e-17,0,-1.2412436e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,3.1350938e-17,0,1.4323361e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,6.0737716e-17,0,-1.1023284e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,7.8102119e-17,0,-1.1023284e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,6.0737716e-17,0,1.4323361e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,6.173565e-17,0,-1.2412436e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,6.0737716e-17,0,-1.2412436e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,3.1286264e-17,0,-1.3402061e-17
0.4,8.2071288e-06,0.4,8.1381079e-06,0,5.6172621e-17,0,-1.2137276e-17
0.4,8.2071287e-06,0.4,8.1381079e-06,0,3.128606e-17,0,-1.3402061e-17
0.4,8.2071287e-06,0.4,8.1381078e-06,0,6.0737716e-17,0,-1.2412436e-17
0.4,8.2071287e-06,0.4,8.1381079e-06,0,6.1432292e-17,0,1.5712513e-17
