drain TotalCurrent(IdVd_0.005_0.3_n18_des) X,drain TotalCurrent(IdVd_0.005_0.3_n18_des) Y,drain TotalCurrent(IdVd_0.005_0.6_n20_des) X,drain TotalCurrent(IdVd_0.005_0.6_n20_des) Y,drain TotalCurrent(IdVd_0.005_0.9_n30_des) X,drain TotalCurrent(IdVd_0.005_0.9_n30_des) Y,drain TotalCurrent(IdVd_0.005_1.5_n40_des) X,drain TotalCurrent(IdVd_0.005_1.5_n40_des) Y,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) X,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) Y,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) X,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) Y,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) X,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) Y,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) X,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) Y
0.87,9.1592359e-05,0.87,0.00015862889,0.87,0.00025880764,0.87,0.00049274065,0.87,8.8983304e-05,0.87,0.00014773156,0.87,0.00023904327,0.87,0.00045560559
0.9,9.8282781e-05,0.9,0.00016694921,0.9,0.00026812096,0.9,0.0005036257,0.9,9.5583546e-05,0.9,0.00015598113,0.9,0.00024830243,0.9,0.00046638705
0.93,0.00010510218,0.93,0.0001753538,0.93,0.00027748773,0.93,0.00051449255,0.93,0.00010231873,0.93,0.00016432261,0.93,0.00025762164,0.93,0.00047716092
0.96,0.00011204016,0.96,0.00018383262,0.96,0.00028689878,0.96,0.00052533812,0.96,0.00010917859,0.96,0.00017274608,0.96,0.00026699245,0.96,0.00048792374
0.99,0.00011908672,0.99,0.00019237514,0.99,0.00029635033,0.99,0.00053616051,0.99,0.00011615324,0.99,0.00018124131,0.99,0.00027640997,0.99,0.00049867325
1.02,0.00012623229,1.02,0.00020097335,1.02,0.00030583413,1.02,0.00054695869,1.02,0.00012323316,1.02,0.00018979896,1.02,0.00028586585,1.02,0.00050940807
1.05,0.00013346759,1.05,0.00020961847,1.05,0.00031534261,1.05,0.0005577321,1.05,0.00013040915,1.05,0.00019841035,1.05,0.00029535235,1.05,0.00052012721
1.08,0.0001407841,1.08,0.00021830256,1.08,0.00032486818,1.08,0.00056848011,1.08,0.0001376725,1.08,0.00020706709,1.08,0.0003048618,1.08,0.00053082944
1.11,0.00014817384,1.11,0.00022701626,1.11,0.00033440335,1.11,0.00057920161,1.11,0.00014501517,1.11,0.00021576091,1.11,0.00031438648,1.11,0.00054151308
1.14,0.00015562957,1.14,0.00023575356,1.14,0.00034394011,1.14,0.00058989335,1.14,0.00015242966,1.14,0.00022448347,1.14,0.00032391902,1.14,0.00055217577
1.17,0.0001631447,1.17,0.00024450859,1.17,0.00035347219,1.17,0.00060055398,1.17,0.00015990913,1.17,0.00023322933,1.17,0.0003334519,1.17,0.00056281348
1.2,0.00017071338,1.2,0.00025327574,1.2,0.0003629936,1.2,0.00061117815,1.2,0.00016744743,1.2,0.00024199239,1.2,0.00034297924,1.2,0.0005734233
1.23,0.00017833048,1.23,0.00026205024,1.23,0.00037249779,1.23,0.00062176412,1.23,0.00017503915,1.23,0.00025076764,1.23,0.00035249545,1.23,0.00058399977
1.26,0.00018599146,1.26,0.00027082804,1.26,0.00038198064,1.26,0.00063230773,1.26,0.00018267945,1.26,0.00025955067,1.26,0.00036199386,1.26,0.00059453985
1.29,0.00019369225,1.29,0.00027960594,1.29,0.0003914394,1.29,0.00064280379,1.29,0.00019036405,1.29,0.00026833806,1.29,0.00037147227,1.29,0.00060503879
1.32,0.00020142952,1.32,0.00028838165,1.32,0.0004008714,1.32,0.00065324964,1.32,0.00019808922,1.32,0.0002771269,1.32,0.00038092721,1.32,0.00061549226
1.35,0.00020920007,1.35,0.0002971535,1.35,0.00041027548,1.35,0.00066364141,1.35,0.00020585174,1.35,0.00028591505,1.35,0.000390357,1.35,0.00062589663
1.38,0.00021700108,1.38,0.00030591933,1.38,0.00041964824,1.38,0.00067397564,1.38,0.00021364853,1.38,0.00029470046,1.38,0.00039976078,1.38,0.00063624825
1.41,0.00022482982,1.41,0.00031467898,1.41,0.00042899084,1.41,0.00068424961,1.41,0.00022147667,1.41,0.00030348223,1.41,0.0004091344,1.41,0.00064654422
1.44,0.00023268282,1.44,0.00032343207,1.44,0.00043830507,1.44,0.00069446142,1.44,0.00022933269,1.44,0.00031225981,1.44,0.00041848171,1.44,0.00065678147
1.47,0.00024055786,1.47,0.00033217518,1.47,0.00044759069,1.47,0.00070461069,1.47,0.0002372142,1.47,0.00032103138,1.47,0.00042780305,1.47,0.00066695939
1.5,0.00024845191,1.5,0.00034090954,1.5,0.00045684785,1.5,0.00071469809,1.5,0.00024511814,1.5,0.0003297953,1.5,0.00043709829,1.5,0.00067707897
1.53,0.00025636202,1.53,0.00034963421,1.53,0.00046607741,1.53,0.0007247216,1.53,0.00025304154,1.53,0.0003385519,1.53,0.00044636786,1.53,0.00068713486
1.56,0.00026428507,1.56,0.00035834768,1.56,0.00047527955,1.56,0.0007346811,1.56,0.00026098124,1.56,0.00034729964,1.56,0.0004556118,1.56,0.00069713204
1.59,0.00027221784,1.59,0.00036704852,1.59,0.00048445395,1.59,0.0007445835,1.59,0.0002689339,1.59,0.000356037,1.59,0.00046482996,1.59,0.00070707538
1.62,0.0002801572,1.62,0.00037573467,1.62,0.00049360011,1.62,0.00075443154,1.62,0.00027689606,1.62,0.0003647621,1.62,0.00047402183,1.62,0.00071696491
