drain TotalCurrent(BV_0n45_des) X,drain TotalCurrent(BV_0n45_des) Y,drain TotalCurrent(BV_4.28e10n52_des) X,drain TotalCurrent(BV_4.28e10n52_des) Y
0.12977868,3.3397903e-06,0.10076055,1.8860621e-06
0.13384105,3.5325194e-06,0.10482291,2.0120323e-06
0.13688782,3.682334e-06,0.10786968,2.1107017e-06
0.14145797,3.9157296e-06,0.11015476,2.1871219e-06
0.14831321,4.2859499e-06,0.11358238,2.3057172e-06
0.15345464,4.5800329e-06,0.11615309,2.3978515e-06
0.16116678,5.0486537e-06,0.12000916,2.5412893e-06
0.17273499,5.8166049e-06,0.12290122,2.6530816e-06
0.18141115,6.4467362e-06,0.1272393,2.8277086e-06
0.19442539,7.4846894e-06,0.13049286,2.9642771e-06
0.21394674,9.264831e-06,0.13293302,3.0699227e-06
0.24322878,1.2488246e-05,0.13659328,3.2336783e-06
0.28715183,1.8774329e-05,0.13933847,3.3607444e-06
0.35303641,3.2535196e-05,0.14345626,3.558342e-06
0.45186327,6.7917912e-05,0.14963294,3.8709712e-06
0.60010357,0.00017784536,0.15426544,4.1186748e-06
-,-,0.16121421,4.5123614e-06
-,-,0.17163735,5.1551244e-06
-,-,0.18727207,6.2453435e-06
-,-,0.21072415,8.1921452e-06
-,-,0.24590227,1.1902595e-05
-,-,0.29866945,1.9613322e-05
-,-,0.37782021,3.7936618e-05
-,-,0.49654636,9.0288672e-05
-,-,0.67463558,0.0002614135

