drain TotalCurrent(Id_off_0.005n71_des) X,drain TotalCurrent(Id_off_0.005n71_des) Y,drain TotalCurrent(Id_off_0.00928n75_des) X,drain TotalCurrent(Id_off_0.00928n75_des) Y,drain TotalCurrent(idOn_0.005n46_des) X,drain TotalCurrent(idOn_0.005n46_des) Y,drain TotalCurrent(idOn_0.00928n58_des) X,drain TotalCurrent(idOn_0.00928n58_des) Y
0,8.2071288e-06,0,7.7277592e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277592e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277592e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277594e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277591e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071287e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071287e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071287e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071287e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277584e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071288e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071289e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277597e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071292e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071296e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.2071291e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.207129e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.207129e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
0,8.207129e-06,0,7.7277585e-06,1.5,0.00031922089,1.5,0.0001084656
